cantonlock_slug,cantonlock_model,stahlock_id,stahlock_url,stahlock_model,stahlock_category,cantonlock_series
001-panic-exit-device,001,1950,https://stahlock.com/index.php?id=1950,001,Trim Handle,Panic Exit Device
015-panic-exit-device,015,1936,https://stahlock.com/index.php?id=1936,015,Trim Handle,Panic Exit Device
023-et-panic-exit-device,023 ET,1934,https://stahlock.com/index.php?id=1934,023 ET,Trim Handle,Panic Exit Device
023-etan-anti-pick-panic-exit-device,023 ETAN,1933,https://stahlock.com/index.php?id=1933,023 ETAN,Trim Handle,Hyland 023
023-ps-panic-exit-device,023 PS,1935,https://stahlock.com/index.php?id=1935,023 PS,Trim Handle,Panic Exit Device
026-panic-exit-device,026,1940,https://stahlock.com/index.php?id=1940,026,Trim Handle,Panic Exit Device
027-panic-exit-device,027,1942,https://stahlock.com/index.php?id=1942,027,Trim Handle,Panic Exit Device
028-panic-exit-device,028,1941,https://stahlock.com/index.php?id=1941,028,Trim Handle,Panic Exit Device
030-panic-exit-device,030,1945,https://stahlock.com/index.php?id=1945,030,Trim Handle,Panic Exit Device
033-panic-exit-device,033,1944,https://stahlock.com/index.php?id=1944,033,Trim Handle,Panic Exit Device
035-panic-exit-device,035,1946,https://stahlock.com/index.php?id=1946,035,Trim Handle,Panic Exit Device
036-panic-exit-device,036,1951,https://stahlock.com/index.php?id=1951,036,Fire Door Coordinator,Panic Exit Device
037-panic-exit-device,037,1943,https://stahlock.com/index.php?id=1943,037,Trim Handle,Panic Exit Device
039-panic-exit-device,039,1947,https://stahlock.com/index.php?id=1947,039,Trim Handle,Panic Exit Device
200-indicator,200,2420,https://stahlock.com/index.php?id=2420,200,Hardware Accessories,Indicator
305-fire-door-panic-exit-device,305,1918,https://stahlock.com/index.php?id=1918,305,Push Bar,Hyland 300
309-d-double-door-panic-exit-device,309-D,1921,https://stahlock.com/index.php?id=1921,309-D,Push Bar,Hyland 300
314-alarm-panic-bar-exit-device,314,2429,https://stahlock.com/index.php?id=2429,314,Push Bar,Hyland 300
315-pry-latch,315,2430,https://stahlock.com/index.php?id=2430,315,Push Bar,Pry Latch
317-cold-room-push-bar-exit-device,317,2431,https://stahlock.com/index.php?id=2431,317,Push Bar,Hyland 300
320-two-point-locking-exit-device,320,1924,https://stahlock.com/index.php?id=1924,320,Push Bar,Hyland 300
500-indicator,500,2321,https://stahlock.com/index.php?id=2321,500,Hardware Accessories,Indicator
600-concealed-sliding-door-handle,600,2322,https://stahlock.com/index.php?id=2322,600,Hardware Accessories,Hyland 600
72-panic-exit-device,72,2404,https://stahlock.com/index.php?id=2404,72,Profile Lock Case,Panic Exit Device
881-ss-sliding-hook-lock,881 SS,2323,https://stahlock.com/index.php?id=2323,881 SS,Commercial Locks,Sliding Hook Lock
9080e-panic-exit-device,9080E,1948,https://stahlock.com/index.php?id=1948,9080E,Trim Handle,Panic Exit Device
9082e-stainless-steel-handle,9082E,2087,https://stahlock.com/index.php?id=2087,9082E,Trim Handle,Stainless Steel Handle
dc01-panic-exit-device,DC01,2428,https://stahlock.com/index.php?id=2428,DC01,Fire Door Coordinator,Panic Exit Device
ds01-door-stopper,DS01,2331,https://stahlock.com/index.php?id=2331,DS01,Hardware Accessories,Door Stopper
ds010-door-stopper,DS010,2335,https://stahlock.com/index.php?id=2335,DS010,Hardware Accessories,Door Stopper
ds011-door-flush-bolt,DS011,2312,https://stahlock.com/index.php?id=2312,DS011,Hardware Accessories,Door Flush Bolt
ds013-door-stopper,DS013,2336,https://stahlock.com/index.php?id=2336,DS013,Hardware Accessories,Door Stopper
ds02-door-stopper,DS02,2332,https://stahlock.com/index.php?id=2332,DS02,Hardware Accessories,Door Stopper
ds022-door-stopper,DS022,2337,https://stahlock.com/index.php?id=2337,DS022,Hardware Accessories,Door Stopper
ds05-door-stopper,DS05,2333,https://stahlock.com/index.php?id=2333,DS05,Hardware Accessories,Door Stopper
ds09-door-stopper,DS09,2334,https://stahlock.com/index.php?id=2334,DS09,Hardware Accessories,Door Stopper
dsl02-panic-exit-device,DSL02,2422,https://stahlock.com/index.php?id=2422,DSL02,Fire Door Coordinator,Panic Exit Device
dust-proof-01-door-viewer,Dust Proof 01,2293,https://stahlock.com/index.php?id=2293,Dust Proof 01,Hardware Accessories,Door viewer
dust-proof-02-door-viewer,Dust Proof 02,2294,https://stahlock.com/index.php?id=2294,Dust Proof 02,Hardware Accessories,Door viewer
dv05-door-viewer,DV05,2282,https://stahlock.com/index.php?id=2282,DV05,Hardware Accessories,Door viewer
dv05-bl-door-viewer,DV05 BL,2283,https://stahlock.com/index.php?id=2283,DV05 BL,Hardware Accessories,Door viewer
dv06-door-viewer,DV06,2284,https://stahlock.com/index.php?id=2284,DV06,Hardware Accessories,Door viewer
dv07-door-viewer,DV07,2285,https://stahlock.com/index.php?id=2285,DV07,Hardware Accessories,Door viewer
dv08-sn-door-viewer,DV08 SN,2286,https://stahlock.com/index.php?id=2286,DV08 SN,Hardware Accessories,Door viewer
dv09-door-viewer,DV09,2287,https://stahlock.com/index.php?id=2287,DV09,Hardware Accessories,Door viewer
dv10-door-viewer,DV10,2288,https://stahlock.com/index.php?id=2288,DV10,Hardware Accessories,Door viewer
dv11-door-viewer,DV11,2289,https://stahlock.com/index.php?id=2289,DV11,Hardware Accessories,Door viewer
dv12-b-door-viewer,DV12-B,2290,https://stahlock.com/index.php?id=2290,DV12-B,Hardware Accessories,Door viewer
