"Project name","hyde"
"Date range","06/15/2026 00:00 - 09/22/2026 23:59"


":","Yes"
":","Yes"

"Metric","Number of requests","37315"
"Metric","Share of total traffic","100%"
"Metric","Unique pages requested","100%"
"Metric","Violations","1.35%"

"Metric","Bot operator","Requests","Percentage"
"","Likely Human Traffic","26308","70.50%"
"","Meta","1857","4.98%"
"","Google","1705","4.57%"
"","Microsoft","1608","4.31%"
"","Semrush","935","2.51%"
"","Huawei","915","2.45%"
"","DataForSEO","724","1.94%"
"","Amazon","567","1.52%"
"","Majestic","392","1.05%"
"","Anthropic","306","0.82%"
"","OpenAI","262","0.70%"
"","ByteDance","257","0.69%"
"","Other Operators","214","0.57%"
"","Apple","213","0.57%"
"","Reflection","206","0.55%"
"","Yisou","152","0.41%"
"","Ahrefs","136","0.36%"
"","Haxx","132","0.35%"
"","Yandex","87","0.23%"
"","Coccoc","43","0.12%"
"","Seoclarity","41","0.11%"
"","Moz","39","0.10%"
"","DuckDuckGo","31","0.08%"
"","Perplexity","25","0.07%"
"","Bytedance","21","0.06%"
"","Moonshot AI","15","0.04%"
"","SE Ranking","13","0.03%"
"","Golang","13","0.03%"
"","Cohere","11","0.03%"
"","Censys","11","0.03%"
"","DeepSeek","9","0.02%"
"","Datadome","9","0.02%"
"","Mistral AI","9","0.02%"
"","Common Crawl Foundation","9","0.02%"
"","Baidu","8","0.02%"
"","Brave Software, Inc.","8","0.02%"
"","You.com","7","0.02%"
"","Pinterest","5","0.01%"
"","Python-requests","4","0.01%"
"","Okhttp","4","0.01%"
"","Udger","2","< 0.01%"
"","QuantumCloud","1","< 0.01%"
"","Aiohttp","1","< 0.01%"

"Metric","Bot activity","Requests","Percentage"
"","Likely Human Activity","26308","70.50%"
"","AI Crawler","6153","16.49%"
"","Search Engine Optimization","3040","8.15%"
"","Search Engine Crawler","496","1.33%"
"","Security","441","1.18%"
"","AI Assistant","339","0.91%"
"","Page Preview","235","0.63%"
"","Automation & Tooling","156","0.42%"
"","AI Search","147","0.39%"

"Metric","Path requests","Requests","Percentage"
"","/Index.php","710","1.9%"
"","/products/","960","2.57%"
"","/index.php","384","1.03%"
"","/es/contact/","633","1.7%"
"","/contact/","615","1.65%"
"","/robots.txt","44","0.12%"
"","/","60","0.16%"
"","/__next._tree.txt","308","0.83%"
"","/product-finder/__next._tree.txt","303","0.81%"
"","/products/__next._tree.txt","291","0.78%"
"","/__next.!KGVuKQ.__PAGE__.txt","239","0.64%"
"","/news/__next._tree.txt","236","0.63%"
"","/contact/__next._tree.txt","234","0.63%"
"","/product-finder/__next.!KGVuKQ.product-finder.__PAGE__.txt","234","0.63%"
"","/products/__next.!KGVuKQ.products.__PAGE__.txt","221","0.59%"
"","/contact/__next.!KGVuKQ.contact.__PAGE__.txt","213","0.57%"
"","/company/__next._tree.txt","210","0.56%"
"","/news/__next.!KGVuKQ.news.__PAGE__.txt","196","0.53%"
"","/faq/__next._tree.txt","186","0.5%"
"","/newsletter/__next._tree.txt","185","0.5%"
"","/company/__next.!KGVuKQ.company.__PAGE__.txt","178","0.48%"
"","/faq/__next.!KGVuKQ.faq.__PAGE__.txt","170","0.46%"
"","/newsletter/__next.!KGVuKQ.newsletter.__PAGE__.txt","166","0.44%"
"","/__next.!KGVuKQ.txt","150","0.4%"
"","/pt/contact/","136","0.36%"
"","/guides/__next._tree.txt","124","0.33%"
"","/_next/static/chunks/3gylmvz_v6_4w.css","119","0.32%"
"","/guides/__next.!KGVuKQ.guides.__PAGE__.txt","107","0.29%"
"","/cdn-cgi/speculation","100","0.27%"
"","/sitemap.xml","94","0.25%"
"","/favicon.ico","90","0.24%"
"","/_next/static/media/75affa71d1e2f6a7.17-aodiw50953.woff2","90","0.24%"
"","/images/brand/hyde/hyde-logo-horizontal-black.svg","89","0.24%"
"","/es/products/__next._tree.txt","83","0.22%"
"","/_next/static/chunks/2nglzmfxu-36_.css","77","0.21%"
"","/es/products/","77","0.21%"
"","/_next/static/chunks/33t46atd3n2zd.js","76","0.2%"
"","/_next/static/chunks/2ey_icn33wsjp.js","74","0.2%"
"","/_next/static/chunks/1attaky7thwr-.js","72","0.19%"
"","/_next/static/chunks/2yo1y05f4ex9f.js","69","0.18%"
"","/_next/static/chunks/11_b-g1pb-5zf.js","69","0.18%"
"","/_next/static/chunks/2v5az93i3u7xc.css","68","0.18%"
"","/_next/static/chunks/1aej9t8vsmoz5.js","67","0.18%"
"","/_next/static/chunks/turbopack-0r7jr9j3wpvhb.js","67","0.18%"
"","/collections/knob-locks-commercial-locks/","66","0.18%"
"","/_next/static/chunks/36b_fuzc7uyob.js","65","0.17%"
"","/_next/static/chunks/0dt1trawwiq2v.js","65","0.17%"
"","/products/panic-exit-devices/","65","0.17%"
"","/pt/products/__next._tree.txt","62","0.17%"
"","/_next/static/chunks/40waphfrdfgiu.js","61","0.16%"
"","/_next/static/chunks/1nkjr1cbieopt.css","59","0.16%"
"","/products/knob-locks/","58","0.16%"
"","/icon.svg","55","0.15%"
"","/_next/static/chunks/3azcunjvogq90.css","54","0.14%"
"","/_next/static/chunks/1a07vw21yfu3p.css","53","0.14%"
"","/_next/static/chunks/3fntmmi971322.js","52","0.14%"
"","/_next/static/chunks/0fl2dfjh6z70p.js","52","0.14%"
"","/es/products/__next.es.txt","52","0.14%"
"","/es/products/__next.es.products.__PAGE__.txt","51","0.14%"
"","/index.php/","51","0.14%"
"","/_next/static/chunks/36lm--m0zwqtj.js","49","0.13%"
"","/_next/static/chunks/0p71n9ww20ry3.js","49","0.13%"
