"Project name","hyde"
"Date range","06/15/2026 00:00 - 09/22/2026 23:59"


":","Yes"
":","Yes"

"Metric","Number of requests","6639"
"Metric","Share of total traffic","17.79%"
"Metric","Unique pages requested","43.27%"
"Metric","Violations","3.09%"

"Metric","Bot operator","Requests","Percentage"
"","Meta","1627","24.51%"
"","Microsoft","1608","24.22%"
"","Huawei","915","13.78%"
"","Amazon","567","8.54%"
"","Google","494","7.44%"
"","Anthropic","306","4.61%"
"","ByteDance","257","3.87%"
"","Other Operators","214","3.22%"
"","Apple","213","3.21%"
"","Reflection","206","3.10%"
"","OpenAI","133","2.00%"
"","Perplexity","25","0.38%"
"","Moonshot AI","15","0.23%"
"","DuckDuckGo","12","0.18%"
"","Cohere","11","0.17%"
"","Common Crawl Foundation","9","0.14%"
"","Mistral AI","9","0.14%"
"","DeepSeek","9","0.14%"
"","Brave Software, Inc.","8","0.12%"
"","QuantumCloud","1","0.02%"

"Metric","Bot activity","Requests","Percentage"
"","AI Crawler","6153","92.68%"
"","AI Assistant","339","5.11%"
"","AI Search","147","2.21%"

"Metric","Path requests","Requests","Percentage"
"","/Index.php","468","7.05%"
"","/index.php","13","0.2%"
"","/es/contact/","231","3.48%"
"","/contact/","7","0.11%"
"","/robots.txt","10","0.15%"
"","/products/","91","1.37%"
"","/","15","0.23%"
"","/sitemap.xml","11","0.17%"
"","/es/products/hardware-accessories/dv12-s-door-viewer/","19","0.29%"
"","/es/products/sliding-hook-locks/881-ss-sliding-hook-lock/","18","0.27%"
"","/_next/static/chunks/33t46atd3n2zd.js","17","0.26%"
"","/_next/static/chunks/1attaky7thwr-.js","16","0.24%"
"","/products/panic-exit-devices/","16","0.24%"
"","/_next/static/chunks/2v5az93i3u7xc.css","16","0.24%"
"","/_next/static/chunks/2ey_icn33wsjp.js","15","0.23%"
"","/_next/static/chunks/2nglzmfxu-36_.css","15","0.23%"
"","/_next/static/chunks/1aej9t8vsmoz5.js","13","0.2%"
"","/_next/static/chunks/turbopack-0r7jr9j3wpvhb.js","13","0.2%"
"","/_next/static/chunks/36b_fuzc7uyob.js","13","0.2%"
"","/_next/static/chunks/3gylmvz_v6_4w.css","13","0.2%"
"","/_next/static/chunks/11_b-g1pb-5zf.js","13","0.2%"
"","/_next/static/chunks/0dt1trawwiq2v.js","12","0.18%"
"","/_next/static/chunks/40waphfrdfgiu.js","12","0.18%"
"","/product-finder/","12","0.18%"
"","/company/","11","0.17%"
"","/_next/static/chunks/1g3lr30go2myx.js","11","0.17%"
"","/projects/","11","0.17%"
"","/downloads/","11","0.17%"
"","/_next/static/chunks/2yo1y05f4ex9f.js","11","0.17%"
"","/pt/contact/","10","0.15%"
"","/_next/static/chunks/0hyqqna0knhj2.js","10","0.15%"
"","/configurator/","10","0.15%"
"","/_next/static/chunks/0fl2dfjh6z70p.js","10","0.15%"
"","/_next/static/chunks/3azcunjvogq90.css","10","0.15%"
"","/products/lock-cylinders/","9","0.14%"
"","/_next/static/chunks/0p71n9ww20ry3.js","9","0.14%"
"","/products/hardware-accessories/","9","0.14%"
"","/_next/static/chunks/3bpq6up_k1bma.js","9","0.14%"
"","/products/brass-steel-hinges/","9","0.14%"
"","/products/knob-locks/9216-ac-heavy-duty-cylindrical-lock/","8","0.12%"
"","/news/fitting-a-euro-cylinder/","8","0.12%"
"","/_next/static/chunks/3-g43q2jbn562.js","8","0.12%"
"","/_next/static/chunks/2eg0ks0feyohg.js","8","0.12%"
"","/es/news/exit-device-push-bar-length/","7","0.11%"
"","/model-lookup/","7","0.11%"
"","/news/deadbolt-d101-d102-and-the-rim-alternative/","7","0.11%"
"","/news/euro-cylinder-range-45-to-90/","7","0.11%"
"","/_next/static/chunks/1nkjr1cbieopt.css","7","0.11%"
"","/es/products/lock-cases/ai8530-lock-case/","7","0.11%"
"","/products/panic-exit-devices/9080e-panic-exit-device-trim/","7","0.11%"
"","/guides/corrosion-resistance-en-1670-2026/","7","0.11%"
"","/news/why-the-catalogue-is-this-wide/","7","0.11%"
"","/news/choosing-a-cylindrical-lock-entrance-privacy-passage/","7","0.11%"
"","/es/","7","0.11%"
"","/_next/static/chunks/1f5ust74o0qp9.js","7","0.11%"
"","/_next/static/chunks/3fntmmi971322.js","7","0.11%"
"","/_next/static/chunks/0rcjecmicii2y.js","6","0.09%"
"","/products/deadbolts/d101-ab-deadbolts/","6","0.09%"
"","/products/lock-cases/","6","0.09%"
"","/finishes/","6","0.09%"
"","/products/night-latches-rim-locks/","6","0.09%"
"","/downloads/models/70sn-upper-housing-envelopes.glb","6","0.09%"
"","/glossary/","6","0.09%"
"","/es/products/","6","0.09%"
