# ----------------------------------------
# Google 自然搜索流量: 着陆页 + 查询字符串
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
着陆页 + 查询字符串,Google 搜索自然点击次数,Google 搜索自然展示次数,Google 搜索自然点击率,Google 搜索自然平均排名,活跃用户,感兴趣的会话数,感兴趣的会话占比,每位活跃用户的平均互动时长,事件数,关键事件数,广告收入
/,50,307,0.16286644951140064,7,27,23,0.71875,108.22222222222223,237,0,0
/index.php?lang=es,3,31,0.0967741935483871,4.967741935483871,0,0,0,0,0,0,0
/products/door-closers/ju-088-door-closer/,3,5,0.6,1.2,1,2,1,62,10,0,0
/index.php?m=home&c=Lists&a=index&tid=89,2,120,0.016666666666666666,5.308333333333334,0,0,0,0,0,0,0
/products/,2,81,0.024691358024691357,14.197530864197532,37,3,0.075,35.486486486486484,194,0,0
/Index.php?m=home&c=View&a=index&aid=1075&lang=en,1,1,1,6,0,0,0,0,0,0,0
/Index.php?m=home&c=View&a=index&aid=636&lang=cn,1,5,0.2,4,0,0,0,0,0,0,0
/company/,1,40,0.025,4.375,0,0,0,0,0,0,0
/es/collections/panic-exit-devices-special-applications/,1,1,1,1,1,1,1,26,9,0,0
/es/products/,1,44,0.022727272727272728,6.25,1,0,0,0,3,0,0
/es/products/panic-exit-devices/,1,7,0.14285714285714285,1.4285714285714286,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=91,1,47,0.02127659574468085,8.553191489361701,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=97,1,8,0.125,19.375,0,0,0,0,0,0,0
/index.php?m=home&c=Lists&a=index&tid=98&lang=cn,1,2,0.5,2,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=1000,1,8,0.125,1.75,0,0,0,0,0,0,0
/index.php?m=home&c=View&a=index&aid=318,1,6,0.16666666666666666,5.333333333333333,0,0,0,0,0,0,0
/news/,1,9,0.1111111111111111,9.555555555555555,1,1,1,358,26,0,0
/products/knob-locks/5807-e-heavy-duty-cylindrical-lock/,1,5,0.2,1.6,1,0,0,0,3,0,0
/products/knob-locks/587-sset-light-duty-cylindrical-lock/,1,2,0.5,1,0,0,0,0,0,0,0
/products/knob-locks/607-pbet-tubular-lock/,1,1,1,1,1,0,0,0,3,0,0
/products/lever-handles/,1,6,0.16666666666666666,16.333333333333336,1,1,1,1,5,0,0
/products/lock-cases/lc04-85-60mm-lock-case/,1,1,1,2,0,0,0,0,0,0,0
/products/night-latches-rim-locks/h102-night-latch-and-rim-lock/,1,1,1,1,1,0,0,0,3,0,0
/products/panic-exit-devices/317-cold-room-push-bar-exit-device/,1,4,0.25,4.75,1,0,0,0,3,0,0
/products/sliding-hook-locks/,1,13,0.07692307692307693,5.538461538461538,1,1,1,69,4,0,0
/Index.php?m=home&c=Lists&a=index&tid=100&lang=cn,0,4,0,23,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=103,0,5,0,4,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=112&lang=cn&page=4,0,1,0,5,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=113&lang=en&page=2,0,1,0,6,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=119,0,1,0,1,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=122&lang=cn&page=2,0,1,0,5,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=126&lang=cn&page=3,0,2,0,6.5,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=140&lang=cn,0,1,0,5,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=141,0,1,0,7,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=145&lang=en,0,2,0,13.5,0,0,0,0,0,0,0
/Index.php?m=home&c=Lists&a=index&tid=157,0,4,0,8.75,0,0,0,0,0,0,0
