国家/地区,点击次数,展示,点击率,排名
印度,5,153,3.27%,26.2
泰国,5,33,15.15%,12.27
美国,4,721,0.55%,17.44
新加坡,4,32,12.5%,4.72
德国,4,28,14.29%,14.79
中国,3,90,3.33%,6.93
西班牙,3,60,5%,11.6
中国香港,3,42,7.14%,8.31
秘鲁,3,23,13.04%,5.61
荷兰,3,13,23.08%,19.08
乌拉圭,3,8,37.5%,6.25
亚美尼亚,3,6,50%,2.17
希腊,3,5,60%,2.4
尼日利亚,3,5,60%,10.2
巴西,2,65,3.08%,8.11
孟加拉,2,21,9.52%,8.71
台湾,2,19,10.53%,14.05
土耳其,2,19,10.53%,14.84
缅甸,2,8,25%,3.62
委内瑞拉,2,8,25%,3.75
英国,1,71,1.41%,13.46
澳大利亚,1,54,1.85%,9.7
墨西哥,1,39,2.56%,10.13
加拿大,1,36,2.78%,7.39
南非,1,15,6.67%,4.73
俄罗斯,1,14,7.14%,22.07
智利,1,12,8.33%,6
埃及,1,9,11.11%,5.78
芬兰,1,5,20%,10.4
波兰,1,3,33.33%,6.67
格鲁吉亚,1,2,50%,2.5
卢旺达,1,2,50%,2.5
菲律宾,0,92,0%,15.76
越南,0,69,0%,32.54
印度尼西亚,0,42,0%,18.83
斐济,0,31,0%,10.84
阿根廷,0,24,0%,10.58
马来西亚,0,24,0%,21.04
沙特阿拉伯,0,21,0%,12.62
巴基斯坦,0,18,0%,10.89
阿拉伯联合酋长国,0,17,0%,9.41
法国,0,17,0%,14.82
日本,0,16,0%,7.12
哥伦比亚,0,14,0%,5.07
韩国,0,14,0%,7
意大利,0,14,0%,10.5
叙利亚,0,12,0%,2.92
厄瓜多尔,0,11,0%,5
新西兰,0,9,0%,7.78
巴拉圭,0,6,0%,7.5
阿富汗,0,6,0%,50.17
多米尼加共和国,0,5,0%,4
爱尔兰,0,5,0%,4.4
斯里兰卡,0,5,0%,5.6
尼泊尔,0,5,0%,7.8
罗马尼亚,0,5,0%,7.8
科威特,0,4,0%,2
巴拿马,0,4,0%,5.5
伊拉克,0,4,0%,7.5
肯尼亚,0,4,0%,7.75
卡塔尔,0,4,0%,8.25
坦桑尼亚,0,4,0%,9.25
瑞士,0,4,0%,10.75
萨尔瓦多,0,4,0%,13.5
保加利亚,0,3,0%,1.33
巴布亚新几内亚,0,3,0%,2
哈萨克斯坦,0,3,0%,3.67
老挝,0,3,0%,3.67
匈牙利,0,3,0%,4.33
葡萄牙,0,3,0%,5
波多黎各,0,3,0%,5.33
哥斯达黎加,0,3,0%,7
危地马拉,0,3,0%,7.67
乌克兰,0,3,0%,7.67
摩洛哥,0,3,0%,13.67
爱沙尼亚,0,3,0%,23.33
瑞典,0,2,0%,1
奥地利,0,2,0%,2.5
澳门,0,2,0%,3.5
波斯尼亚和黑塞哥维那,0,2,0%,4.5
埃塞俄比亚,0,2,0%,4.5
挪威,0,2,0%,5
巴林,0,2,0%,7.5
捷克,0,2,0%,7.5
塞尔维亚,0,2,0%,7.5
以色列,0,2,0%,9
巴勒斯坦,0,2,0%,10
喀麦隆,0,2,0%,12
马尔代夫,0,1,0%,1
白俄罗斯,0,1,0%,2
玻利维亚,0,1,0%,4
刚果 - 金沙萨,0,1,0%,4
马耳他,0,1,0%,4
也门,0,1,0%,4
阿尔巴尼亚,0,1,0%,5
乌兹别克斯坦,0,1,0%,5
加蓬,0,1,0%,6
马拉维,0,1,0%,6
赞比亚,0,1,0%,6
比利时,0,1,0%,7
伊朗,0,1,0%,7
黎巴嫩,0,1,0%,7
科特迪瓦,0,1,0%,9
拉脱维亚,0,1,0%,9
斯洛伐克,0,1,0%,9
丹麦,0,1,0%,10
圣卢西亚,0,1,0%,10
塞浦路斯,0,1,0%,11
突尼斯,0,1,0%,15
约旦,0,1,0%,49
