日期,点击次数,展示,点击率,排名
2026-06-28,0,22,0%,5.5
2026-06-29,0,5,0%,4.8
2026-06-30,0,5,0%,19.6
2026-07-01,2,11,18.18%,14.8
2026-07-02,1,20,5%,13.2
2026-07-03,0,7,0%,6.6
2026-07-04,0,6,0%,2.8
2026-07-05,0,4,0%,12
2026-07-06,0,9,0%,9
2026-07-07,0,8,0%,10.9
2026-07-08,1,8,12.5%,5.1
2026-07-09,0,5,0%,3.6
2026-07-10,2,12,16.67%,4.5
2026-07-11,0,7,0%,25.9
2026-07-12,0,10,0%,14
2026-07-13,0,16,0%,12.2
2026-07-14,0,5,0%,12.8
2026-07-15,2,16,12.5%,11.5
2026-07-16,0,6,0%,16.5
2026-07-17,1,4,25%,7
2026-07-18,1,15,6.67%,8.3
2026-07-19,1,11,9.09%,11.5
2026-07-20,2,8,25%,9.4
2026-07-21,0,10,0%,9.6
2026-07-22,1,13,7.69%,10.5
2026-07-23,0,8,0%,15.1
2026-07-24,0,9,0%,9.7
2026-07-25,0,3,0%,16.3
2026-07-26,0,6,0%,6.2
2026-07-27,0,14,0%,23.9
2026-07-28,0,15,0%,21.8
2026-07-29,0,7,0%,15.4
2026-07-30,1,6,16.67%,14.2
2026-07-31,0,9,0%,15.7
2026-08-01,0,14,0%,31.4
2026-08-02,0,8,0%,37.1
2026-08-03,2,15,13.33%,8.3
2026-08-04,0,14,0%,12.3
2026-08-05,2,18,11.11%,9.4
2026-08-06,1,5,20%,28.4
2026-08-07,0,20,0%,5.5
2026-08-08,1,11,9.09%,9.1
2026-08-09,0,11,0%,13.1
2026-08-10,0,8,0%,20.5
2026-08-11,1,38,2.63%,62.2
2026-08-12,1,24,4.17%,40.5
2026-08-13,1,20,5%,11.7
2026-08-14,1,4,25%,28
2026-08-15,1,4,25%,6.2
2026-08-16,0,10,0%,33.3
2026-08-17,0,20,0%,19.2
2026-08-18,0,5,0%,29.4
2026-08-19,0,7,0%,37.4
2026-08-20,1,10,10%,19.3
2026-08-21,1,12,8.33%,15
2026-08-22,1,12,8.33%,26.8
2026-08-23,0,5,0%,21.2
2026-08-24,0,5,0%,14.6
2026-08-25,2,13,15.38%,17.7
2026-08-26,2,7,28.57%,14.7
2026-08-27,2,10,20%,42.3
2026-08-28,1,12,8.33%,43.8
2026-08-29,2,24,8.33%,26.4
2026-08-30,0,11,0%,35.4
2026-08-31,2,28,7.14%,22.4
2026-09-01,2,31,6.45%,10
2026-09-02,2,36,5.56%,7.4
2026-09-03,2,41,4.88%,7.2
2026-09-04,1,40,2.5%,6.4
2026-09-05,0,41,0%,11.5
2026-09-06,0,39,0%,11.2
2026-09-07,1,64,1.56%,18.2
2026-09-08,1,113,0.88%,16.7
2026-09-09,1,119,0.84%,12.4
2026-09-10,1,86,1.16%,17.3
2026-09-11,1,65,1.54%,13.7
2026-09-12,0,36,0%,7.7
2026-09-13,0,58,0%,15.3
2026-09-14,3,90,3.33%,12.4
2026-09-15,1,98,1.02%,12.3
2026-09-16,5,179,2.79%,9.5
2026-09-17,8,157,5.1%,13.5
2026-09-18,2,89,2.25%,8.9
2026-09-19,2,110,1.82%,7.4
