"页面","印象数","点击次数","点击率","平均排名"
"https://www.cantonlock.com/","82","26","31.71%","3.097559756097561"
"https://www.cantonlock.com/company/","49","6","12.24%","2.5918326530612243"
"https://cantonlock.com/news/fitting-a-euro-cylinder/","36","1","2.7800000000000002%","3.249997222222222"
"https://cantonlock.com/downloads/","28","0","0%","5.5357392857142855"
"https://cantonlock.com/news/finish-codes-us26d-626-630/","28","0","0%","6.321407142857143"
"https://cantonlock.com/products/panic-exit-devices/","21","1","4.76%","5.52382380952381"
"https://cantonlock.com/news/door-coordinator-double-fire-door/","12","0","0%","5.916666666666667"
"https://www.cantonlock.com/Index.php?m=home&c=Lists&a=index&tid=159","11","1","9.09%","3.3636363636363638"
"https://cantonlock.com/product-finder/","10","1","10%","4.200010000000001"
"https://cantonlock.com/news/euro-cylinder-length-and-split/","10","0","0%","2.79998"
"https://cantonlock.com/products/","10","1","10%","5.9"
"https://www.cantonlock.com/Index.php?m=home&c=View&a=index&aid=999&lang=cn","10","0","0%","5.4"
"https://cantonlock.com/es/news/reading-door-hardware-model-numbers/","9","0","0%","4.222222222222222"
"https://cantonlock.com/es/downloads/","8","0","0%","6.5"
"https://cantonlock.com/news/what-documents-you-can-actually-get/","7","0","0%","6.857128571428571"
"https://cantonlock.com/es/news/fitting-a-euro-cylinder/","7","0","0%","4.571457142857143"
"https://www.cantonlock.com/index.php?lang=en","5","1","20%","2"
"https://cantonlock.com/es/news/en-1125-or-ansi-which-standard-your-project-needs/","5","0","0%","6.00002"
"https://cantonlock.com/products/night-latches-rim-locks/5689-night-latch-and-rim-lock/","5","1","20%","2"
"https://cantonlock.com/news/handing-left-right-and-universal/","5","0","0%","7.399979999999999"
"https://cantonlock.com/news/trim-handle-or-panic-bar/","5","0","0%","6"
"https://cantonlock.com/configurator/","5","0","0%","4.4"
"https://cantonlock.com/products/night-latches-rim-locks/556-night-latch-and-rim-lock/","5","1","20%","1"
"https://cantonlock.com/es/model-lookup/","5","0","0%","5.8"
"https://cantonlock.com/products/knob-locks/cylindrical-knob-lock/","4","0","0%","4.749975"
"https://cantonlock.com/products/panic-exit-devices/015-panic-exit-device/","4","0","0%","8.25"
"https://cantonlock.com/products/lock-cylinders/","4","0","0%","10"
"https://cantonlock.com/news/euro-cylinder-range-45-to-90/","4","0","0%","6.999975"
"https://cantonlock.com/es/","4","0","0%","6.499974999999999"
"https://www.cantonlock.com/Index.php?m=home&c=Lists&a=index&tid=91","3","0","0%","3.3333333333333335"
"https://www.cantonlock.com/index.php?m=home&c=View&a=index&aid=471","3","0","0%","5"
"https://cantonlock.com/products/night-latches-rim-locks/564-night-latch-and-rim-lock/","3","0","0%","2.3333333333333335"
"https://cantonlock.com/products/bathroom-accessories/bh26-bathroom-accessories/","3","1","33.33%","7.333333333333333"
"https://www.cantonlock.com/index.php?m=home&c=View&a=index&aid=440&lang=en","3","0","0%","5.3333"
"https://www.cantonlock.com/index.php?m=home&c=View&a=index&aid=402","3","0","0%","9.333333333333334"
"https://www.cantonlock.com/index.php?lang=cn","3","0","0%","4.333333333333333"
"https://www.cantonlock.com/Index.php?m=home&c=View&a=index&aid=931&lang=cn","3","0","0%","3.3333333333333335"
"https://cantonlock.com/projects/","3","0","0%","9.333333333333334"
"https://cantonlock.com/pt/news/handing-left-right-and-universal/","3","0","0%","4.666666666666667"
"https://www.cantonlock.com/Index.php?a=index&c=Lists&m=home&tid=123&page=5","3","0","0%","7.6667"
"https://cantonlock.com/contact/","3","3","100%","1"
"https://cantonlock.com/pt/news/fitting-a-euro-cylinder/","3","0","0%","5"
"https://www.cantonlock.com/Index.php?m=home&c=View&a=index&aid=471&lang=en","3","0","0%","6"
"https://cantonlock.com/news/cross-referencing-a-lock-you-already-buy/","3","0","0%","3.6667"
"https://cantonlock.com/products/stainless-steel-handles/ncd-stainless-steel-handle/","2","1","50%","1"
"https://cantonlock.com/products/stainless-steel-handles/hd03-stainless-steel-handle/","2","0","0%","6"
"https://cantonlock.com/products/night-latches-rim-locks/s564-night-latch-and-rim-lock/","2","0","0%","2"
"https://www.cantonlock.com/Index.php?m=home&c=Lists&a=index&tid=75&lang=en","2","1","50%","17.5"
"https://cantonlock.com/es/news/push-bar-or-touch-bar-panic-exit-devices/","2","0","0%","5"
"https://www.cantonlock.com/Index.php?m=home&c=Lists&a=index&tid=22&lang=cn","2","1","50%","4"
"https://www.cantonlock.com/Index.php?m=home&c=View&a=index&aid=617&lang=cn","2","0","0%","2.5"
"https://www.cantonlock.com/Index.php?m=home&c=View&a=index&aid=334&lang=en","2","1","50%","1"
"https://www.cantonlock.com/index.php?m=home&c=View&a=index&aid=410&lang=en","2","0","0%","2"
"https://cantonlock.com/news/why-the-catalogue-is-this-wide/","2","0","0%","8"
"https://cantonlock.com/news/push-bar-or-touch-bar-panic-exit-devices/","2","0","0%","2.5"
"https://www.cantonlock.com/index.php?m=home&c=View&a=index&aid=410","2","0","0%","4"
"https://cantonlock.com/news/","2","0","0%","7.5"
"https://cantonlock.com/products/lock-cylinders/70bk-lock-cylinder/","2","0","0%","2"
"https://cantonlock.com/es/product-finder/","2","0","0%","5.5"
"https://cantonlock.com/es/products/lock-cases/6068-mortise-lever-handle-lock/","2","0","0%","2.5"
"https://cantonlock.com/es/news/ansi-grade-1-vs-en-1125-exit-devices/","2","0","0%","6.5"
"https://cantonlock.com/products/grip-handle-sets/70750-pb-grip-handle-set/","2","0","0%","9"
"https://www.cantonlock.com/index.php?m=home&c=View&a=index&aid=1508&lang=en","2","0","0%","5"
"https://cantonlock.com/news/choosing-a-cylindrical-lock-entrance-privacy-passage/","2","0","0%","3"
"https://cantonlock.com/products/glass-door-accessories/104-glass-door-handle/","2","0","0%","4"
"https://www.cantonlock.com/index.php?m=home&c=View&a=index&aid=442&lang=en","2","0","0%","6"
"https://www.cantonlock.com/index.php?m=home&c=View&a=index&aid=559","2","0","0%","3.5"
"https://cantonlock.com/products/glass-door-accessories/glass-door-patch-fitting-set/","2","0","0%","8.5"
"https://cantonlock.com/events/","2","0","0%","6.5"
"https://cantonlock.com/es/news/handing-left-right-and-universal/","2","0","0%","8.5"
"https://cantonlock.com/products/lever-handles/812-sset-lever-handle/","2","0","0%","1"
"https://cantonlock.com/products/lock-cases/lc5845-lock-case/","2","0","0%","3"
"https://cantonlock.com/news/stainless-lever-range-9007-9008-9014/","1","0","0%","3"
"https://cantonlock.com/products/lock-cylinders/single-oval-cylinder-lock-cylinder/","1","0","0%","6"
"https://cantonlock.com/news/brass-piano-hinge-is-a-finish-not-a-metal/","1","0","0%","4"
"https://cantonlock.com/products/knob-locks/587-pbbk-light-duty-cylindrical-lock/","1","0","0%","6"
"https://www.cantonlock.com/Index.php?m=home&c=View&a=index&aid=153&lang=en","1","0","0%","2"
"https://www.cantonlock.com/Index.php?m=home&c=View&a=index&aid=428&lang=en","1","0","0%","1"
"https://cantonlock.com/products/lock-cylinders/45bn-lock-cylinder/","1","0","0%","2"
"https://cantonlock.com/products/lock-cylinders/54-dk-lock-cylinder/","1","0","0%","10"
"https://cantonlock.com/pt/news/choosing-a-cylindrical-lock-entrance-privacy-passage/","1","0","0%","8"
