"日期","点击次数","印象数","平均 点击率"
"2026/8/8 00:00:00","0","3","0"
"2026/8/9 00:00:00","0","5","0"
"2026/8/10 00:00:00","2","8","25"
"2026/8/11 00:00:00","0","3","0"
"2026/8/12 00:00:00","0","4","0"
"2026/8/13 00:00:00","3","3","100"
"2026/8/14 00:00:00","0","4","0"
"2026/8/15 00:00:00","0","0","0"
"2026/8/16 00:00:00","0","1","0"
"2026/8/17 00:00:00","0","1","0"
"2026/8/18 00:00:00","0","3","0"
"2026/8/19 00:00:00","1","6","16.67"
"2026/8/20 00:00:00","2","8","25"
"2026/8/21 00:00:00","0","5","0"
"2026/8/22 00:00:00","0","1","0"
"2026/8/23 00:00:00","0","0","0"
"2026/8/24 00:00:00","3","11","27.27"
"2026/8/25 00:00:00","0","2","0"
"2026/8/26 00:00:00","1","8","12.5"
"2026/8/27 00:00:00","2","55","3.64"
"2026/8/28 00:00:00","0","23","0"
"2026/8/29 00:00:00","0","11","0"
"2026/8/30 00:00:00","0","8","0"
"2026/8/31 00:00:00","2","36","5.56"
"2026/9/1 00:00:00","4","29","13.79"
"2026/9/2 00:00:00","1","18","5.56"
"2026/9/3 00:00:00","3","19","15.79"
"2026/9/4 00:00:00","0","23","0"
"2026/9/5 00:00:00","0","3","0"
"2026/9/6 00:00:00","2","8","25"
"2026/9/7 00:00:00","4","20","20"
"2026/9/8 00:00:00","1","40","2.5"
"2026/9/9 00:00:00","0","34","0"
"2026/9/10 00:00:00","1","41","2.44"
"2026/9/11 00:00:00","1","44","2.27"
"2026/9/12 00:00:00","0","11","0"
"2026/9/13 00:00:00","4","39","10.26"
"2026/9/14 00:00:00","2","45","4.44"
"2026/9/15 00:00:00","1","42","2.38"
"2026/9/16 00:00:00","2","56","3.57"
"2026/9/17 00:00:00","2","56","3.57"
"2026/9/18 00:00:00","0","44","0"
"2026/9/19 00:00:00","1","31","3.23"
"2026/9/20 00:00:00","4","17","23.53"
