# ----------------------------------------
# 受众特征详情: 区域
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
区域,活跃用户,新用户数,感兴趣的会话数,感兴趣的会话占比,每位活跃用户的感兴趣会话数,每位活跃用户的平均互动时长,事件数,关键事件数,用户关键事件率,总收入
(not set),2062,1849,54,0.02617547261269995,0.026188166828322017,0.6193016488845781,6900,0,0,0
Guangdong Province,1474,1263,134,0.08880053015241882,0.09090909090909091,20.845318860244234,5849,0,0,0
,97,90,0,0,0,0.1134020618556701,347,0,0,0
California,52,51,142,0.5525291828793775,2.730769230769231,471.65384615384613,2738,0,0,0
Shanghai,25,25,17,0.5666666666666667,0.68,50.12,193,0,0,0
Beijing,21,18,9,0.391304347826087,0.42857142857142855,12.523809523809524,89,0,0,0
Hunan,20,19,8,0.4,0.4,19.45,97,0,0,0
Shandong,19,19,4,0.21052631578947367,0.21052631578947367,5.315789473684211,84,0,0,0
Zhejiang,16,15,6,0.375,0.375,8.5625,68,0,0,0
Oregon,15,15,0,0,0,1.4,48,0,0,0
Colorado,14,14,0,0,0,0.07142857142857142,43,0,0,0
Liaoning,12,12,4,0.3333333333333333,0.3333333333333333,9.833333333333334,61,0,0,0
Sichuan,12,11,4,0.3333333333333333,0.3333333333333333,9.416666666666666,61,0,0,0
Virginia,12,12,4,0.3333333333333333,0.3333333333333333,5.25,50,0,0,0
Hainan,9,9,4,0.4444444444444444,0.4444444444444444,12.444444444444445,48,0,0,0
Jiangsu,9,7,3,0.3333333333333333,0.3333333333333333,10.88888888888889,41,0,0,0
Fujian,8,6,3,0.3333333333333333,0.375,51,58,0,0,0
Yunnan,7,7,2,0.2857142857142857,0.2857142857142857,7.428571428571429,34,0,0,0
Iowa,6,6,1,0.16666666666666666,0.16666666666666666,0.8333333333333334,19,0,0,0
Tianjin,6,6,1,0.16666666666666666,0.16666666666666666,7.5,29,0,0,0
England,5,5,3,0.6,0.6,61,32,0,0,0
Hubei,5,5,1,0.2,0.2,12.4,22,0,0,0
Illinois,5,5,0,0,0,0,15,0,0,0
Istanbul,5,5,3,0.5,0.6,18.4,28,0,0,0
Jilin,5,5,1,0.2,0.2,7.6,24,0,0,0
Rhineland-Palatinate,5,5,12,0.6,2.4,140,99,0,0,0
Texas,5,5,2,0.4,0.4,9.8,29,0,0,0
Tokyo,5,5,4,0.8,0.8,16,24,0,0,0
Anhui,4,4,0,0,0,8.75,18,0,0,0
Ho Chi Minh,4,4,3,0.5,0.75,70,62,0,0,0
New York,4,4,3,0.75,0.75,108.75,45,0,0,0
Ontario,4,4,2,0.5,0.5,15.75,17,0,0,0
