# ----------------------------------------
# 受众特征详情: 国家/地区
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
国家/地区,活跃用户,新用户数,感兴趣的会话数,感兴趣的会话占比,每位活跃用户的感兴趣会话数,每位活跃用户的平均互动时长,事件数,关键事件数,用户关键事件率,总收入
China,1884,1794,222,0.11496633868461936,0.1178343949044586,18.45859872611465,8227,0,0,0
Singapore,1396,1393,5,0.0035971223021582736,0.0035816618911174787,0.14828080229226362,5216,0,0,0
Hong Kong,189,185,11,0.05759162303664921,0.0582010582010582,2.4074074074074074,607,0,0,0
United States,139,137,161,0.4680232558139535,1.158273381294964,182.1294964028777,3079,0,0,0
Germany,16,14,17,0.425,1.0625,61.6875,172,0,0,0
India,14,14,10,0.7142857142857143,0.7142857142857143,25.785714285714285,66,0,0,0
Türkiye,7,7,4,0.5,0.5714285714285714,18.142857142857142,37,0,0,0
Australia,6,6,5,0.8333333333333334,0.8333333333333334,34.166666666666664,31,0,0,0
Japan,6,6,5,0.8333333333333334,0.8333333333333334,17,29,0,0,0
United Kingdom,6,6,4,0.6666666666666666,0.6666666666666666,55.5,36,0,0,0
Vietnam,6,6,4,0.5,0.6666666666666666,50.5,73,0,0,0
South Korea,5,5,1,0.16666666666666666,0.2,19,30,0,0,0
Bangladesh,4,3,4,1,1,31.5,26,0,0,0
Canada,4,4,2,0.5,0.5,15.75,17,0,0,0
Mexico,4,2,0,0,0,11,10,0,0,0
Spain,4,4,5,0.5555555555555556,1.25,312.75,54,0,0,0
Thailand,4,4,6,0.6,1.5,388.5,87,0,0,0
Brazil,3,3,2,0.5,0.6666666666666666,34,24,0,0,0
Iran,3,3,1,0.3333333333333333,0.3333333333333333,6,13,0,0,0
Ireland,3,3,2,0.6666666666666666,0.6666666666666666,4.666666666666667,11,0,0,0
Nigeria,3,3,4,0.8,1.3333333333333333,43,23,0,0,0
Pakistan,3,1,1,0.3333333333333333,0.3333333333333333,3,8,0,0,0
Peru,3,3,2,0.6666666666666666,0.6666666666666666,20.666666666666668,14,0,0,0
Taiwan,3,3,2,0.6666666666666666,0.6666666666666666,29,16,0,0,0
Uruguay,3,3,2,0.6666666666666666,0.6666666666666666,31,16,0,0,0
Argentina,2,2,2,1,1,147,15,0,0,0
Colombia,2,2,0,0,0,0,6,0,0,0
Italy,2,2,2,1,1,63,13,0,0,0
Poland,2,2,1,0.5,0.5,27.5,13,0,0,0
Romania,2,2,0,0,0,0,6,0,0,0
Saudi Arabia,2,2,1,0.3333333333333333,0.5,9.5,11,0,0,0
South Africa,2,2,1,0.5,0.5,12,7,0,0,0
Sweden,2,2,2,1,1,16.5,8,0,0,0
United Arab Emirates,2,2,1,0.5,0.5,48.5,16,0,0,0
(not set),1,1,1,1,1,13,4,0,0,0
Angola,1,1,1,1,1,81,4,0,0,0
Armenia,1,1,2,1,2,62,10,0,0,0
Austria,1,1,1,1,1,0,4,0,0,0
Chile,1,1,0,0,0,0,3,0,0,0
Croatia,1,1,1,1,1,23,5,0,0,0
Egypt,1,1,1,1,1,14,4,0,0,0
Finland,1,1,1,1,1,2,4,0,0,0
Greece,1,1,1,1,1,168,15,0,0,0
Guatemala,1,0,0,0,0,4,2,0,0,0
Indonesia,1,1,0,0,0,0,3,0,0,0
Iraq,1,1,1,1,1,3,5,0,0,0
Jordan,1,1,0,0,0,0,3,0,0,0
Malaysia,1,1,0,0,0,0,3,0,0,0
Morocco,1,1,1,1,1,35,5,0,0,0
Myanmar (Burma),1,1,2,1,2,415,41,0,0,0
Netherlands,1,1,1,1,1,25,5,0,0,0
New Zealand,1,1,1,1,1,15,4,0,0,0
Norway,1,1,0,0,0,5,4,0,0,0
Palestine,1,1,1,1,1,781,47,0,0,0
Panama,1,1,0,0,0,0,3,0,0,0
Philippines,1,1,0,0,0,0,3,0,0,0
Russia,1,1,1,1,1,29,5,0,0,0
Rwanda,1,1,1,1,1,70,7,0,0,0
Syria,1,1,1,1,1,21,8,0,0,0
Ukraine,1,1,0,0,0,0,3,0,0,0
Venezuela,1,1,0,0,0,0,3,0,0,0
