# ----------------------------------------
# 受众特征详情: 语言
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
语言,活跃用户,新用户数,感兴趣的会话数,感兴趣的会话占比,每位活跃用户的感兴趣会话数,每位活跃用户的平均互动时长,事件数,关键事件数,用户关键事件率,总收入
English,3311,3229,242,0.06892623184277984,0.07308970099667775,7.823316218665056,14634,0,0,0
Chinese,386,380,225,0.47974413646055436,0.582901554404145,102.1761658031088,3209,0,0,0
Spanish,14,13,10,0.5263157894736842,0.7142857142857143,114.5,101,0,0,0
Turkish,5,5,3,0.6,0.6,17.8,25,0,0,0
French,3,3,3,0.75,1,47.666666666666664,21,0,0,0
German,3,3,1,0.25,0.3333333333333333,9.666666666666666,16,0,0,0
Portuguese,3,3,3,0.75,1,61,25,0,0,0
Vietnamese,3,3,3,0.6,1,91.66666666666667,59,0,0,0
Arabic,2,2,2,0.6666666666666666,1,19,15,0,0,0
Italian,2,2,2,1,1,63,13,0,0,0
Japanese,2,2,2,1,1,18.5,9,0,0,0
Russian,2,2,1,0.5,0.5,14.5,8,0,0,0
Thai,2,2,3,0.75,1.5,525,41,0,0,0
(other),1,1,1,1,1,3,5,0,0,0
Dutch,1,1,1,1,1,25,5,0,0,0
Finnish,1,1,1,1,1,2,4,0,0,0
Greek,1,1,1,1,1,168,15,0,0,0
Korean,1,1,0,0,0,35,6,0,0,0
Polish,1,1,1,1,1,55,10,0,0,0
Romanian,1,1,0,0,0,0,3,0,0,0
