# ----------------------------------------
# 技术详情: 屏幕分辨率
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
屏幕分辨率,活跃用户,新用户数,感兴趣的会话数,感兴趣的会话占比,每位活跃用户的感兴趣会话数,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
1280x1200,2921,2842,54,0.018404907975460124,0.018486819582334817,0.26532009585758304,10644,0,0
1920x1080,280,276,191,0.49226804123711343,0.6821428571428572,133.75357142857143,2875,0,0
800x600,222,221,1,0.0045045045045045045,0.0045045045045045045,0.3108108108108108,672,0,0
440x956,29,29,38,0.6333333333333333,1.3103448275862069,92.79310344827586,358,0,0
1800x1125,28,28,0,0,0,0,84,0,0
393x852,19,19,13,0.6842105263157895,0.6842105263157895,18.842105263157894,96,0,0
1536x864,18,18,20,0.7692307692307693,1.1111111111111112,146.38888888888889,187,0,0
402x874,17,17,10,0.5882352941176471,0.5882352941176471,19.88235294117647,101,0,0
430x932,16,16,12,0.6666666666666666,0.75,82,138,0,0
1366x1366,14,11,2,0.14285714285714285,0.14285714285714285,7.285714285714286,47,0,0
1440x900,14,14,2,0.14285714285714285,0.14285714285714285,1.8571428571428572,46,0,0
1600x1200,11,11,0,0,0,3.5454545454545454,43,0,0
375x812,11,8,14,0.56,1.2727272727272727,64.36363636363636,83,0,0
390x844,11,9,5,0.45454545454545453,0.45454545454545453,85.0909090909091,69,0,0
1280x720,10,9,7,0.7,0.7,35.8,56,0,0
2195x1235,9,9,76,0.5547445255474452,8.444444444444445,1883,1935,0,0
1366x768,8,8,4,0.5,0.5,116.125,80,0,0
2000x2000,7,7,7,1,1,5.428571428571429,28,0,0
0x0,5,1,18,0.6923076923076923,3.6,0,107,0,0
2560x1440,5,5,3,0.6,0.6,16.4,31,0,0
390x664,5,5,0,0,0,0,15,0,0
1680x1050,4,4,3,0.75,0.75,58.75,31,0,0
320x693,3,3,2,0.6666666666666666,0.6666666666666666,55.666666666666664,17,0,0
384x832,3,3,2,0.6666666666666666,0.6666666666666666,58.333333333333336,17,0,0
412x915,3,3,0,0,0,0.3333333333333333,10,0,0
428x926,3,3,2,0.6666666666666666,0.6666666666666666,15,14,0,0
1200x1800,2,2,2,1,1,68.5,8,0,0
1280x1024,2,2,1,0.5,0.5,8,8,0,0
1280x800,2,2,1,0.5,0.5,29.5,10,0,0
1470x956,2,2,2,1,1,53,13,0,0
1536x960,2,2,2,0.6666666666666666,1,92.5,23,0,0
1600x900,2,2,1,0.5,0.5,2.5,11,0,0
1707x960,2,2,3,1,1.5,53,22,0,0
2880x1800,2,1,1,0.5,0.5,5,7,0,0
360x800,2,2,2,1,1,63.5,10,0,0
360x802,2,1,1,0.5,0.5,9.5,6,0,0
384x854,2,2,1,0.5,0.5,19,8,0,0
430x739,2,2,0,0,0,0,6,0,0
480x1040,2,2,0,0,0,0,6,0,0
1080x600,1,1,0,0,0,0,3,0,0
1173x1326,1,1,0,0,0,0,3,0,0
1191x1315,1,1,0,0,0,0,3,0,0
1218x1074,1,1,0,0,0,0,3,0,0
1225x1114,1,1,0,0,0,0,3,0,0
1234x1149,1,1,0,0,0,0,3,0,0
1240x1109,1,1,0,0,0,0,3,0,0
1249x703,1,1,1,1,1,10,4,0,0
1255x785,1,1,1,1,1,61,11,0,0
1280x1280,1,1,0,0,0,7,4,0,0
1303x1164,1,1,0,0,0,0,3,0,0
1310x1200,1,1,0,0,0,0,3,0,0
1321x1232,1,1,0,0,0,0,3,0,0
1334x1210,1,1,0,0,0,0,3,0,0
1334x889,1,1,1,1,1,54,6,0,0
1336x1208,1,1,0,0,0,0,3,0,0
1351x1220,1,1,0,0,0,0,3,0,0
1358x1232,1,1,0,0,0,0,3,0,0
1366x900,1,1,0,0,0,7,4,0,0
1384x1271,1,1,0,0,0,0,3,0,0
1387x1236,1,1,0,0,0,0,3,0,0
1423x800,1,1,1,0.5,1,12,7,0,0
1440x2200,1,1,1,1,1,12,4,0,0
1440x960,1,1,1,1,1,221,14,0,0
1512x982,1,1,1,1,1,77,16,0,0
1600x1067,1,1,0,0,0,8,4,0,0
1600x1600,1,1,0,0,0,9,5,0,0
1685x948,1,1,1,1,1,52,6,0,0
1707x1067,1,1,1,1,1,39,6,0,0
1710x1107,1,1,1,1,1,32,4,0,0
2048x1152,1,1,1,1,1,55,6,0,0
2134x1200,1,1,1,0.25,1,84,15,0,0
2152x1211,1,1,1,1,1,25,5,0,0
2560x1080,1,1,1,1,1,2,4,0,0
320x568,1,1,0,0,0,0,3,0,0
360x801,1,1,1,1,1,0,3,0,0
360x805,1,1,0,0,0,0,3,0,0
360x812,1,1,1,1,1,5,5,0,0
373x818,1,1,0,0,0,5,4,0,0
375x813,1,1,1,1,1,23,9,0,0
384x857,1,1,3,1,3,1050,38,0,0
393x851,1,1,0,0,0,0,3,0,0
393x895,1,1,0,0,0,0,3,0,0
400x870,1,1,0,0,0,0,3,0,0
400x875,1,1,0,0,0,1,4,0,0
400x889,1,1,0,0,0,2,4,0,0
400x938,1,1,1,1,1,38,8,0,0
401x881,1,1,1,1,1,27,5,0,0
412x823,1,0,2,1,2,0,2,0,0
412x892,1,1,0,0,0,0,3,0,0
414x896,1,1,1,1,1,24,4,0,0
432x960,1,1,1,1,1,7,4,0,0
440x707,1,1,1,1,1,47,17,0,0
464x1006,1,1,1,1,1,12,4,0,0
