# ----------------------------------------
# 网页和屏幕: 网页标题和屏幕类
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
网页标题和屏幕类,浏览次数,活跃用户,每位活跃用户的浏览量,每位活跃用户的平均互动时长,事件数,关键事件数,总收入
Products — Door Hardware Catalogue | Canton Hyland,1102,822,1.340632603406326,14.802919708029197,3347,0,0
Canton Hyland — Panic Exit Devices & Door Hardware Factory,1043,545,1.9137614678899082,17.111926605504586,2673,0,0
Product Finder — 435 Door Hardware Models | Canton Hyland,350,19,18.42105263157895,163.31578947368422,413,0,0
Contact the Export Team | Canton Hyland,142,98,1.4489795918367347,28.908163265306122,292,0,0
News & Press Releases | Canton Hyland,138,24,5.75,45.166666666666664,197,0,0
Panic Exit Devices — Manufacturer & Supplier | Canton Hyland,133,49,2.7142857142857144,58.42857142857143,284,0,0
Knob Locks — Manufacturer & Supplier | Canton Hyland,112,85,1.3176470588235294,9.023529411764706,375,0,0
Company — Door Hardware Manufacturer | Canton Hyland,104,46,2.260869565217391,26.369565217391305,199,0,0
Configurator — Find the Right Model | Canton Hyland,104,8,13,66.375,114,0,0
Canton Hyland — Panic Exit Devices & Door Hardware Manufacturer,95,51,1.8627450980392157,42.09803921568628,237,0,0
Cerraduras y herrajes arquitectónicos | Canton Hyland,72,36,2,19.86111111111111,140,0,0
Hardware Accessories — Manufacturer & Supplier | Canton Hyland,55,22,2.5,31.90909090909091,98,0,0
Product Finder — 517 Door Hardware Models | Canton Hyland,46,6,7.666666666666667,116,53,0,0
Projects + Applications | Canton Hyland,44,10,4.4,36.2,51,0,0
Lock Cases — Manufacturer & Supplier | Canton Hyland,41,16,2.5625,100.6875,72,0,0
Brass & Steel Door Hinges — Manufacturer | Canton Hyland,40,31,1.2903225806451613,5.806451612903226,128,0,0
015 Panic Exit Device — ABS | Canton Hyland,37,12,3.0833333333333335,14.666666666666666,57,0,0
Door Hardware Applications by Building Type | Canton Hyland,34,11,3.090909090909091,15.363636363636363,54,0,0
001 Panic Exit Device — 304SS | Canton Hyland,29,11,2.6363636363636362,17.818181818181817,49,0,0
Service + Downloads | Canton Hyland,27,13,2.076923076923077,20,51,0,0
Lever Handles — Manufacturer & Supplier | Canton Hyland,23,10,2.3,18.5,34,0,0
Frequently asked questions | Canton Hyland,21,10,2.1,16.2,43,0,0
Product Finder — 462 Door Hardware Models | Canton Hyland,21,3,7,95,23,0,0
Product Finder — 520 Door Hardware Models | Canton Hyland,21,2,10.5,71.5,21,0,0
Door Hardware Services | Canton Hyland,20,10,2,17.2,34,0,0
023 PS Panic Exit Device — Panic Exit Devices | Canton Hyland,18,8,2.25,10.375,34,0,0
016 Exterior Trim — Panic Exit Devices | Canton Hyland,17,8,2.125,13.5,26,0,0
035 Panic Exit Device — Aluminium | Canton Hyland,16,8,2,14.75,32,0,0
Night Latches & Rim Locks — Manufacturer | Canton Hyland,16,10,1.6,29,29,0,0
Product Finder — 431 Door Hardware Models | Canton Hyland,16,4,4,49.25,19,0,0
027 Panic Exit Device — Zinc Alloy | Canton Hyland,15,8,1.875,18.375,31,0,0
107 Glass Door Handle — 304 Stainless Steel | Canton Hyland,15,9,1.6666666666666667,5.444444444444445,40,0,0
300 Panic Exit Device — Panic Exit Devices | Canton Hyland,15,7,2.142857142857143,95.28571428571429,30,0,0
Sliding Hook Locks — Manufacturer & Supplier | Canton Hyland,15,9,1.6666666666666667,28.333333333333332,32,0,0
Stainless Steel Handles | Canton Hyland,15,2,7.5,39,20,0,0
028 Panic Exit Device — Zinc Alloy+Brass | Canton Hyland,14,10,1.4,7.4,36,0,0
Exhibitions + Market Visits | Canton Hyland,14,8,1.75,38.625,29,0,0
Grip Handle Sets — Manufacturer & Supplier | Canton Hyland,14,5,2.8,40.2,25,0,0
023 ET Panic Exit Device — Panic Exit Devices | Canton Hyland,13,8,1.625,12.75,29,0,0
030 Panic Exit Device — Aluminum Alloy | Canton Hyland,13,10,1.3,12.6,30,0,0
Door Closers — Manufacturer & Supplier | Canton Hyland,13,7,1.8571428571428572,46.57142857142857,22,0,0
023 ETAN Anti-Pick Panic Exit Device Trim | Canton Hyland,12,8,1.5,22,27,0,0
305 Fire Door Panic Exit Device | Canton Hyland,12,6,2,20.666666666666668,21,0,0
311 Panic Exit Device — Panic Exit Devices | Canton Hyland,12,9,1.3333333333333333,10.333333333333334,30,0,0
Product Finder — 573 Door Hardware Models | Canton Hyland,12,4,3,17.25,17,0,0
Stainless Steel Handles — Manufacturer | Canton Hyland,12,8,1.5,11.75,25,0,0
026 Panic Exit Device — Zinc Alloy | Canton Hyland,11,8,1.375,16.125,24,0,0
033 Panic Exit Device — Panic Exit Devices | Canton Hyland,11,8,1.375,5.75,29,0,0
106 Glass Door Handle — 304 Stainless Steel | Canton Hyland,11,11,1,15.272727272727273,33,0,0
564 MB Night Latch And Rim Lock | Canton Hyland,11,7,1.5714285714285714,13.285714285714286,24,0,0
Configurador — Encuentre el modelo | Canton Hyland,11,1,11,34,11,0,0
JU-088 Door Closer — Aluminum | Canton Hyland,11,8,1.375,22.75,33,0,0
Lock Cylinders — Manufacturer & Supplier | Canton Hyland,11,5,2.2,13.2,20,0,0
1073D Night Latch And Rim Lock | Canton Hyland,10,9,1.1111111111111112,7.777777777777778,25,0,0
301 Panic Exit Device — Panic Exit Devices | Canton Hyland,10,5,2,4.8,20,0,0
303 Panic Exit Device — Panic Exit Devices | Canton Hyland,10,5,2,7.8,20,0,0
316-S Panic Exit Device — Panic Exit Devices | Canton Hyland,10,7,1.4285714285714286,4.714285714285714,24,0,0
AR4-110 Security Mortise Lock | HYDE Argentina,10,4,2.5,147.75,17,0,0
AR4-140 Slim Mortise Lock | HYDE Argentina,10,1,10,31,15,0,0
GL125 SS Glass Door Patch Fittings | Canton Hyland,10,10,1,0.1,34,0,0
HYDE Argentina AR-4 Mortise Lock Collection | Canton Hyland,10,5,2,11.8,22,0,0
Hospitality and Residential Door Hardware | Canton Hyland,10,4,2.5,5,16,0,0
LC04 85*60 Lock Case — Lock Cases | Canton Hyland,10,10,1,3.3,30,0,0
Night Latches & Rim Locks | Canton Hyland,10,2,5,52,11,0,0
Product Finder — 519 Door Hardware Models | Canton Hyland,10,5,2,26,15,0,0
037 Panic Exit Device — Iron+Stainless Steel | Canton Hyland,9,8,1.125,8.625,26,0,0
039 Panic Exit Device — Zinc Alloy | Canton Hyland,9,7,1.2857142857142858,11.571428571428571,23,0,0
102 Glass Door Handle — 304 Stainless Steel | Canton Hyland,9,9,1,1.6666666666666667,21,0,0
104 Glass Door Handle — 304 Stainless Steel | Canton Hyland,9,8,1.125,1.125,25,0,0
302 Panic Exit Device — Stainless Steel+Iron | Canton Hyland,9,5,1.8,7.6,19,0,0
307 Panic Exit Device — Panic Exit Devices | Canton Hyland,9,8,1.125,5,22,0,0
313 Panic Exit Device — Iron +ABS Body | Canton Hyland,9,8,1.125,3,26,0,0
5807 E Heavy Duty Cylindrical Lock | Canton Hyland,9,9,1,0,30,0,0
5870 SSPS Heavy Duty Cylindrical Lock | Canton Hyland,9,9,1,0,32,0,0
6*3*3mm Brass and Steel Hinges | Canton Hyland,9,7,1.2857142857142858,4.428571428571429,24,0,0
607 FET Tubular Lock — Knob Locks | Canton Hyland,9,9,1,2.6666666666666665,29,0,0
9080E Panic Exit Device — Stainless Steel 304 | Canton Hyland,9,7,1.2857142857142858,11.285714285714286,25,0,0
AR4-110 Security Mortise Lock Body | Canton Hyland,9,8,1.125,74.25,20,0,0
Bathroom Accessories — Manufacturer & Supplier | Canton Hyland,9,5,1.8,28.4,20,0,0
Brass & Steel Hinges — Manufacturer & Supplier | Canton Hyland,9,2,4.5,51,10,0,0
Certification + Test Evidence | Canton Hyland,9,5,1.8,31,17,0,0
Contacto — Equipo de exportación | Canton Hyland,9,9,1,21.666666666666668,18,0,0
Door Hinges — Manufacturer & Supplier | Canton Hyland,9,2,4.5,26.5,10,0,0
F101 Glass Door Patch Fittings | Canton Hyland,9,9,1,0.1111111111111111,35,0,0
Glass Door Accessories — Manufacturer | Canton Hyland,9,9,1,3,28,0,0
Night Latch & Rim Lock Night Latch & Rim Lock | Canton Hyland,9,9,1,1.1111111111111112,30,0,0
Productos — Catálogo de herrajes para puertas | Canton Hyland,9,8,1.125,81.875,23,0,0
Request the price list | Canton Hyland,9,6,1.5,23.666666666666668,9,0,0
Tubular Knob Lock Tubular Knob Lock | Canton Hyland,9,8,1.125,1.375,25,0,0
(not set),8,10,0.8,62.3,21,0,0
100 Glass Door Handle — 304 Stainless Steel | Canton Hyland,8,6,1.3333333333333333,65.83333333333333,20,0,0
1073S Night Latch And Rim Lock | Canton Hyland,8,5,1.6,3.8,17,0,0
310 Panic Exit Device — Iron | Canton Hyland,8,7,1.1428571428571428,15.714285714285714,21,0,0
314 Alarm Panic Bar Exit Device | Canton Hyland,8,8,1,4.25,22,0,0
575 ABET Tubular Lock — Stainless Steel | Canton Hyland,8,5,1.6,85.8,18,0,0
607 SSBK Tubular Lock — Knob Locks | Canton Hyland,8,8,1,3.5,23,0,0
72 Panic Exit Device — Iron | Canton Hyland,8,7,1.1428571428571428,2.4285714285714284,23,0,0
804 PBET Lever Handle — Zinc Alloy | Canton Hyland,8,8,1,1.875,27,0,0
AR4-101 Standard Mortise Lock Body | Canton Hyland,8,6,1.3333333333333333,3.8333333333333335,18,0,0
BL030 Brass and Steel Hinges | Canton Hyland,8,9,0.8888888888888888,11.333333333333334,28,0,0
D101 AB Deadbolts | Canton Hyland,8,6,1.3333333333333333,20.833333333333332,14,0,0
Empresa — Fabricante de herrajes | Canton Hyland,8,3,2.6666666666666665,11.666666666666666,13,0,0
F100 SS Door Hinge — Iron | Canton Hyland,8,7,1.1428571428571428,11.571428571428571,23,0,0
Fechaduras e ferragens arquitetónicas | Canton Hyland,8,3,2.6666666666666665,2.6666666666666665,9,0,0
L001 Latch — Hardware Accessories | Canton Hyland,8,8,1,4.5,25,0,0
SSH018 Brass and Steel Hinges | Canton Hyland,8,7,1.1428571428571428,43,21,0,0
X2 Panic Exit Device — Brass | Canton Hyland,8,7,1.1428571428571428,8.714285714285714,25,0,0
036 Panic Exit Device — Nickel Plated Iron | Canton Hyland,7,6,1.1666666666666667,7.333333333333333,16,0,0
